AvgMonthlyCharge,AvgTenure,Churn,ChurnedCustomers,ChurnFlag,ChurnRate,Contract,customerID,Dependents,DeviceProtection,gender,TotalCustomers,Sum of TotalCharges,TenureGroup,Sum of tenure,TechSupport,StreamingTV,StreamingMovies,Sum of SeniorCitizen,PhoneService,PaymentMethod,Partner,PaperlessBilling,OnlineSecurity,OnlineBackup,MultipleLines,Sum of MonthlyCharges,InternetService,MRR_At_Risk
90.8,16,No,,0,,Month-to-month,0112-QAWRZ,Yes,Yes,Male,1,1442.2,13-24,16,No,Yes,No,0,Yes,Bank transfer (automatic),Yes,Yes,No,No,Yes,90.8,Fiber optic,
107.55,33,No,,0,,Month-to-month,0114-PEGZZ,No,Yes,Female,1,3645.5,25-36,33,No,Yes,Yes,0,Yes,Electronic check,No,No,No,Yes,Yes,107.55,Fiber optic,
19.95,10,No,,0,,Month-to-month,0114-RSRRW,No,No,Female,1,187.75,0-12,10,No,No,No,0,Yes,Bank transfer (automatic),Yes,Yes,No,No,No,19.95,No,
85.8,26,No,,0,,Month-to-month,0118-JPNOY,No,No,Female,1,2193.65,25-36,26,No,Yes,No,1,Yes,Credit card (automatic),No,Yes,Yes,No,No,85.8,Fiber optic,
45.8,26,No,,0,,Month-to-month,0128-MKWSG,Yes,No,Female,1,1147,25-36,26,Yes,No,Yes,0,No,Mailed check,No,No,Yes,No,No phone service,45.8,DSL,
94.65,72,No,,0,,Month-to-month,0129-KPTWJ,No,Yes,Male,1,6747.35,61+,72,No,Yes,Yes,0,Yes,Electronic check,Yes,Yes,No,No,No,94.65,Fiber optic,
89.4,66,No,,0,,Month-to-month,0130-SXOUN,No,No,Male,1,5976.9,61+,66,No,No,Yes,0,Yes,Credit card (automatic),No,No,No,Yes,Yes,89.4,Fiber optic,
90.35,2,No,,0,,Month-to-month,0139-IVFJG,No,No,Female,1,190.5,0-12,2,No,Yes,No,0,Yes,Electronic check,Yes,No,Yes,Yes,No,90.35,Fiber optic,
86.45,27,No,,0,,Month-to-month,0141-YEAYS,No,Yes,Female,1,2401.05,25-36,27,No,No,No,1,Yes,Bank transfer (automatic),No,Yes,No,Yes,Yes,86.45,Fiber optic,
20.3,26,No,,0,,Month-to-month,0142-GVYSN,No,No,Male,1,511.25,25-36,26,No,No,No,0,Yes,Electronic check,No,Yes,No,No,No,20.3,No,
101.25,39,No,,0,,Month-to-month,0147-ESWWR,No,No,Female,1,3949.15,37-48,39,Yes,Yes,Yes,1,Yes,Electronic check,Yes,Yes,No,No,Yes,101.25,Fiber optic,
86.85,19,No,,0,,Month-to-month,0168-XZKBB,No,No,Female,1,1564.4,13-24,19,No,Yes,No,0,Yes,Electronic check,Yes,Yes,No,No,Yes,86.85,Fiber optic,
109.9,33,No,,0,,Month-to-month,0177-PXBAT,No,Yes,Male,1,3694.7,25-36,33,Yes,Yes,Yes,1,Yes,Bank transfer (automatic),Yes,Yes,Yes,No,Yes,109.9,Fiber optic,
19.95,3,No,,0,,Month-to-month,0178-CIIKR,No,No,Female,1,58,0-12,3,No,No,No,0,Yes,Mailed check,No,No,No,No,No,19.95,No,
87.2,47,No,,0,,Month-to-month,0178-SZBHO,Yes,No,Male,1,4017.45,37-48,47,No,Yes,No,0,Yes,Electronic check,Yes,No,No,Yes,Yes,87.2,Fiber optic,
89,7,No,,0,,Month-to-month,0187-QSXOE,No,No,Male,1,605.45,0-12,7,No,Yes,Yes,1,Yes,Electronic check,Yes,Yes,No,No,No,89,Fiber optic,
74.4,27,No,,0,,Month-to-month,0187-WZNAB,Yes,No,Female,1,1972.35,25-36,27,No,No,No,0,Yes,Mailed check,Yes,No,Yes,No,No,74.4,Fiber optic,
20.05,2,No,,0,,Month-to-month,0188-GWFLE,No,No,Male,1,33.7,0-12,2,No,No,No,0,Yes,Mailed check,No,No,No,No,No,20.05,No,
74.75,30,No,,0,,Month-to-month,0191-ZHSKZ,No,No,Male,1,2111.3,25-36,30,No,Yes,Yes,1,Yes,Electronic check,No,Yes,Yes,Yes,No,74.75,DSL,
75.2,9,No,,0,,Month-to-month,0196-JTUQI,No,No,Female,1,633.85,0-12,9,No,No,No,0,Yes,Credit card (automatic),No,Yes,No,No,Yes,75.2,Fiber optic,
19.4,12,No,,0,,Month-to-month,0208-BPQEJ,Yes,No,Female,1,198.1,0-12,12,No,No,No,0,Yes,Bank transfer (automatic),Yes,No,No,No,No,19.4,No,
50.35,22,No,,0,,Month-to-month,0212-ISBBF,No,No,Female,1,1098.85,13-24,22,No,Yes,Yes,0,No,Electronic check,No,Yes,No,Yes,No phone service,50.35,DSL,
84.3,30,No,,0,,Month-to-month,0215-BQKGS,No,Yes,Male,1,2438.6,25-36,30,No,No,No,0,Yes,Credit card (automatic),No,Yes,Yes,Yes,No,84.3,Fiber optic,
75.35,4,No,,0,,Month-to-month,0221-WMXNQ,No,No,Male,1,273.4,0-12,4,No,No,No,1,Yes,Electronic check,No,No,Yes,No,No,75.35,Fiber optic,
48.8,52,No,,0,,Month-to-month,0222-CNVPT,No,No,Male,1,2555.05,49-60,52,No,Yes,Yes,1,No,Credit card (automatic),No,Yes,Yes,No,No phone service,48.8,DSL,
44.3,2,No,,0,,Month-to-month,0224-RLWWD,No,No,Female,1,89.3,0-12,2,No,No,No,1,Yes,Electronic check,No,Yes,No,No,No,44.3,DSL,
84.3,3,No,,0,,Month-to-month,0225-ZORZP,No,No,Male,1,235.05,0-12,3,No,No,Yes,0,Yes,Electronic check,No,No,No,Yes,No,84.3,Fiber optic,
59.55,19,No,,0,,Month-to-month,0228-MAUWC,No,Yes,Male,1,1144.6,13-24,19,Yes,No,No,0,Yes,Electronic check,No,No,No,No,Yes,59.55,DSL,
109.65,50,No,,0,,Month-to-month,0237-YFUTL,No,No,Female,1,5405.8,49-60,50,Yes,Yes,Yes,0,Yes,Bank transfer (automatic),Yes,Yes,Yes,Yes,Yes,109.65,Fiber optic,
84.25,46,No,,0,,Month-to-month,0239-OXEXL,No,No,Female,1,3847.6,37-48,46,No,No,No,0,Yes,Mailed check,No,No,Yes,Yes,Yes,84.25,Fiber optic,
19.7,1,No,,0,,Month-to-month,0247-SLUJI,Yes,No,Male,1,19.7,0-12,1,No,No,No,0,Yes,Mailed check,Yes,No,No,No,No,19.7,No,
50.1,1,No,,0,,Month-to-month,0248-IPDFW,No,No,Female,1,50.1,0-12,1,No,No,No,0,Yes,Electronic check,No,Yes,No,No,Yes,50.1,DSL,
62.45,32,No,,0,,Month-to-month,0257-KXZGU,Yes,Yes,Female,1,2045.55,25-36,32,No,No,No,0,Yes,Bank transfer (automatic),Yes,No,No,Yes,Yes,62.45,DSL,
90.4,3,No,,0,,Month-to-month,0258-NOKBL,No,Yes,Male,1,268.45,0-12,3,No,No,Yes,0,Yes,Electronic check,No,No,No,Yes,No,90.4,Fiber optic,
100.7,16,No,,0,,Month-to-month,0265-PSUAE,Yes,Yes,Female,1,1522.7,13-24,16,No,Yes,Yes,0,Yes,Bank transfer (automatic),Yes,No,Yes,No,No,100.7,Fiber optic,
58.85,7,No,,0,,Month-to-month,0274-JKUJR,Yes,Yes,Male,1,465.7,0-12,7,No,Yes,Yes,0,No,Mailed check,Yes,No,Yes,Yes,No phone service,58.85,DSL,
54.4,8,No,,0,,Month-to-month,0277-BKSQP,Yes,No,Male,1,475.1,0-12,8,No,Yes,No,0,Yes,Electronic check,Yes,Yes,No,No,No,54.4,DSL,
29.3,12,No,,0,,Month-to-month,0282-NVSJS,Yes,No,Female,1,355.9,0-12,12,Yes,No,No,1,No,Mailed check,Yes,Yes,No,No,No phone service,29.3,DSL,
54.75,27,No,,0,,Month-to-month,0285-INHLN,Yes,No,Male,1,1510.3,25-36,27,No,No,No,0,Yes,Credit card (automatic),Yes,Yes,Yes,Yes,No,54.75,DSL,
60.55,35,No,,0,,Month-to-month,0289-IVARM,No,Yes,Female,1,1982.6,25-36,35,No,No,No,0,Yes,Electronic check,No,No,Yes,Yes,No,60.55,DSL,
86.2,54,No,,0,,Month-to-month,0292-WEGCH,Yes,Yes,Female,1,4524.05,49-60,54,Yes,Yes,Yes,0,Yes,Electronic check,Yes,Yes,No,Yes,Yes,86.2,DSL,
63.95,5,No,,0,,Month-to-month,0295-QVKPB,No,Yes,Male,1,318.1,0-12,5,Yes,Yes,No,0,Yes,Credit card (automatic),No,Yes,No,No,No,63.95,DSL,
19.25,5,No,,0,,Month-to-month,0303-WMMRN,No,No,Male,1,86.05,0-12,5,No,No,No,0,Yes,Mailed check,No,Yes,No,No,No,19.25,No,
19.85,9,No,,0,,Month-to-month,0310-VQXAM,No,No,Male,1,178.8,0-12,9,No,No,No,0,Yes,Mailed check,No,No,No,No,No,19.85,No,
49.45,6,No,,0,,Month-to-month,0311-QYWSS,No,No,Female,1,314.6,0-12,6,No,No,No,0,Yes,Electronic check,No,Yes,Yes,No,No,49.45,DSL,
55.15,6,No,,0,,Month-to-month,0314-TKOSI,No,No,Female,1,322.9,0-12,6,No,No,No,0,Yes,Mailed check,No,No,Yes,Yes,No,55.15,DSL,
84.8,11,No,,0,,Month-to-month,0315-LVCRK,No,Yes,Male,1,888.75,0-12,11,No,No,Yes,0,Yes,Electronic check,No,No,No,No,No,84.8,Fiber optic,
58.7,3,No,,0,,Month-to-month,0319-QZTCO,Yes,No,Female,1,168.6,0-12,3,No,Yes,No,0,Yes,Credit card (automatic),Yes,Yes,No,Yes,No,58.7,DSL,
19.9,15,No,,0,,Month-to-month,0347-UBKUZ,No,No,Female,1,320.45,13-24,15,No,No,No,0,Yes,Mailed check,No,No,No,No,No,19.9,No,
45.9,11,No,,0,,Month-to-month,0356-ERHVT,No,No,Male,1,521.9,0-12,11,No,No,No,0,Yes,Bank transfer (automatic),Yes,Yes,No,No,No,45.9,DSL,
20.05,25,No,,0,,Month-to-month,0357-NVCRI,Yes,No,Female,1,471.7,25-36,25,No,No,No,0,Yes,Credit card (automatic),No,No,No,No,No,20.05,No,
102.55,17,No,,0,,Month-to-month,0365-BZUWY,No,Yes,Male,1,1742.5,13-24,17,No,Yes,Yes,0,Yes,Electronic check,Yes,Yes,No,Yes,Yes,102.55,Fiber optic,
78.2,18,No,,0,,Month-to-month,0365-GXEZS,No,Yes,Male,1,1468.75,13-24,18,Yes,No,No,0,Yes,Electronic check,Yes,No,No,No,No,78.2,Fiber optic,
91.2,37,No,,0,,Month-to-month,0365-TRTPY,No,Yes,Female,1,3382.3,37-48,37,No,No,No,0,Yes,Bank transfer (automatic),No,No,Yes,Yes,Yes,91.2,Fiber optic,
19.35,2,No,,0,,Month-to-month,0366-NQSHS,No,No,Male,1,46.35,0-12,2,No,No,No,0,Yes,Mailed check,No,No,No,No,No,19.35,No,
50.15,1,No,,0,,Month-to-month,0374-AACSZ,No,No,Female,1,50.15,0-12,1,No,No,No,0,Yes,Electronic check,No,No,Yes,No,No,50.15,DSL,
44.6,3,No,,0,,Month-to-month,0374-IOEGQ,No,No,Female,1,122.7,0-12,3,No,No,No,0,Yes,Electronic check,No,No,No,No,No,44.6,DSL,
93.6,36,No,,0,,Month-to-month,0376-OIWME,No,No,Male,1,3366.05,25-36,36,No,Yes,Yes,0,Yes,Electronic check,Yes,Yes,Yes,No,No,93.6,Fiber optic,
57.95,22,No,,0,,Month-to-month,0377-JBKKT,Yes,No,Male,1,1271.8,13-24,22,Yes,No,No,0,Yes,Mailed check,Yes,Yes,Yes,Yes,No,57.95,DSL,
20,10,No,,0,,Month-to-month,0380-ZCSBI,No,No,Male,1,198.7,0-12,10,No,No,No,0,Yes,Credit card (automatic),No,No,No,No,No,20,No,
64.4,20,No,,0,,Month-to-month,0384-RVBPI,No,Yes,Male,1,1398.6,13-24,20,No,No,Yes,0,Yes,Credit card (automatic),No,No,Yes,No,No,64.4,DSL,
19.3,2,No,,0,,Month-to-month,0396-HUJBP,No,No,Female,1,44.4,0-12,2,No,No,No,0,Yes,Mailed check,No,No,No,No,No,19.3,No,
55.3,23,No,,0,,Month-to-month,0396-UKGAI,Yes,No,Male,1,1284.2,13-24,23,Yes,No,No,0,Yes,Bank transfer (automatic),No,Yes,No,Yes,No,55.3,DSL,
95.4,36,No,,0,,Month-to-month,0396-YCHWO,No,No,Male,1,3474.2,25-36,36,No,Yes,Yes,0,Yes,Electronic check,Yes,Yes,No,No,Yes,95.4,Fiber optic,
83.85,31,No,,0,,Month-to-month,0410-IPFTY,No,No,Female,1,2674.15,25-36,31,No,No,Yes,0,Yes,Bank transfer (automatic),Yes,Yes,No,Yes,No,83.85,Fiber optic,
60.25,3,No,,0,,Month-to-month,0411-EZJZE,No,No,Female,1,170.5,0-12,3,No,Yes,No,0,Yes,Electronic check,No,Yes,No,No,Yes,60.25,DSL,
85.3,49,No,,0,,Month-to-month,0419-YAAPX,No,No,Male,1,4297.95,49-60,49,No,Yes,No,0,Yes,Credit card (automatic),Yes,Yes,No,Yes,No,85.3,Fiber optic,
99.75,39,No,,0,,Month-to-month,0420-HLGXF,No,Yes,Female,1,4036,37-48,39,No,Yes,Yes,1,Yes,Electronic check,No,Yes,No,No,Yes,99.75,Fiber optic,
49.2,9,No,,0,,Month-to-month,0423-UDIJQ,No,No,Male,1,447.9,0-12,9,Yes,No,No,1,Yes,Mailed check,No,No,No,No,No,49.2,DSL,
87,22,No,,0,,Month-to-month,0428-IKYCP,No,Yes,Male,1,1850.65,13-24,22,No,Yes,No,0,Yes,Bank transfer (automatic),Yes,Yes,No,No,No,87,Fiber optic,
49,15,No,,0,,Month-to-month,0430-IHCDJ,No,No,Male,1,749.25,13-24,15,No,No,No,0,Yes,Electronic check,No,Yes,No,No,Yes,49,DSL,
90.7,3,No,,0,,Month-to-month,0432-CAJZV,No,No,Male,1,237.65,0-12,3,No,Yes,Yes,0,Yes,Mailed check,No,No,No,No,No,90.7,Fiber optic,
100.5,47,No,,0,,Month-to-month,0434-CSFON,No,Yes,Female,1,4707.1,37-48,47,No,Yes,Yes,0,Yes,Electronic check,Yes,Yes,No,No,Yes,100.5,Fiber optic,
74.7,18,No,,0,,Month-to-month,0439-IFYUN,No,No,Female,1,1294.6,13-24,18,No,No,No,1,Yes,Electronic check,No,Yes,No,Yes,No,74.7,Fiber optic,
50.15,44,No,,0,,Month-to-month,0440-QEXBZ,No,No,Female,1,2139.1,37-48,44,No,No,No,0,Yes,Mailed check,No,Yes,No,No,Yes,50.15,DSL,
99.65,24,No,,0,,Month-to-month,0447-RXSGD,No,No,Male,1,2404.85,13-24,24,No,Yes,Yes,0,Yes,Bank transfer (automatic),No,Yes,No,Yes,Yes,99.65,Fiber optic,
69.55,3,No,,0,,Month-to-month,0455-XFASS,Yes,No,Female,1,200.2,0-12,3,No,No,No,0,Yes,Electronic check,Yes,Yes,No,No,No,69.55,Fiber optic,
20.75,3,No,,0,,Month-to-month,0463-WZZKO,No,No,Male,1,67.1,0-12,3,No,No,No,0,Yes,Credit card (automatic),No,Yes,No,No,No,20.75,No,
56.75,10,No,,0,,Month-to-month,0463-ZSDNT,No,No,Male,1,503.25,0-12,10,No,No,Yes,0,Yes,Bank transfer (automatic),No,Yes,No,No,No,56.75,DSL,
98.8,29,No,,0,,Month-to-month,0468-YRPXN,No,Yes,Male,1,2807.1,25-36,29,Yes,Yes,Yes,0,Yes,Credit card (automatic),No,Yes,No,No,No,98.8,Fiber optic,
96.8,19,No,,0,,Month-to-month,0480-BIXDE,No,Yes,Female,1,1743.05,13-24,19,No,Yes,Yes,0,Yes,Electronic check,Yes,Yes,No,No,No,96.8,Fiber optic,
25.25,41,No,,0,,Month-to-month,0484-JPBRU,No,No,Male,1,996.45,37-48,41,No,No,No,0,Yes,Bank transfer (automatic),No,Yes,No,No,Yes,25.25,No,
99.4,61,No,,0,,Month-to-month,0487-RPVUM,No,Yes,Male,1,5943.65,61+,61,Yes,Yes,No,0,Yes,Bank transfer (automatic),Yes,No,Yes,No,Yes,99.4,Fiber optic,
19.15,25,No,,0,,Month-to-month,0487-VVUVK,Yes,No,Male,1,477.6,25-36,25,No,No,No,0,Yes,Mailed check,Yes,Yes,No,No,No,19.15,No,
73.7,21,No,,0,,Month-to-month,0491-KAPQG,No,No,Male,1,1558.7,13-24,21,No,No,No,0,Yes,Electronic check,No,Yes,No,No,Yes,73.7,Fiber optic,
71.65,2,No,,0,,Month-to-month,0508-OOLTO,Yes,No,Female,1,135.75,0-12,2,No,No,No,0,Yes,Electronic check,Yes,Yes,No,No,No,71.65,Fiber optic,
20.3,24,No,,0,,Month-to-month,0516-QREYC,No,No,Female,1,459.95,13-24,24,No,No,No,1,Yes,Mailed check,No,Yes,No,No,No,20.3,No,
20.35,20,No,,0,,Month-to-month,0519-DRGTI,Yes,No,Female,1,442.6,13-24,20,No,No,No,0,Yes,Mailed check,Yes,No,No,No,No,20.35,No,
50.5,52,No,,0,,Month-to-month,0523-VNGTF,No,Yes,Female,1,2566.3,49-60,52,Yes,Yes,No,1,No,Electronic check,No,Yes,No,Yes,No phone service,50.5,DSL,
74,55,No,,0,,Month-to-month,0531-ZZJWQ,No,No,Male,1,4052.4,49-60,55,No,No,No,1,Yes,Electronic check,Yes,Yes,No,No,Yes,74,Fiber optic,
20.5,28,No,,0,,Month-to-month,0536-BGFMZ,No,No,Female,1,563.05,25-36,28,No,No,No,0,Yes,Mailed check,Yes,No,No,No,No,20.5,No,
79.85,24,No,,0,,Month-to-month,0537-QYZZN,Yes,No,Male,1,1857.75,13-24,24,No,No,No,1,Yes,Electronic check,Yes,Yes,Yes,No,Yes,79.85,Fiber optic,
62.15,2,No,,0,,Month-to-month,0541-FITGH,No,No,Female,1,113.1,0-12,2,No,No,Yes,0,Yes,Mailed check,Yes,Yes,Yes,No,No,62.15,DSL,
21.05,12,No,,0,,Month-to-month,0547-HURJB,Yes,No,Male,1,235.8,0-12,12,No,No,No,0,Yes,Credit card (automatic),No,No,No,No,No,21.05,No,
73.35,13,No,,0,,Month-to-month,0550-DCXLH,No,No,Male,1,931.55,13-24,13,Yes,Yes,Yes,0,Yes,Mailed check,No,No,No,Yes,No,73.35,DSL,
95.5,20,No,,0,,Month-to-month,0564-MUUQK,Yes,Yes,Female,1,1916.2,13-24,20,Yes,No,Yes,0,Yes,Bank transfer (automatic),Yes,Yes,No,No,Yes,95.5,Fiber optic,
61.4,7,No,,0,,Month-to-month,0567-GGCAC,No,Yes,Female,1,438.9,0-12,7,No,No,No,0,Yes,Electronic check,No,No,Yes,Yes,No,61.4,DSL,
80.55,9,No,,0,,Month-to-month,0570-BFQHT,No,Yes,Female,1,653.9,0-12,9,No,No,No,0,Yes,Electronic check,No,No,No,Yes,No,80.55,Fiber optic,
90.7,16,No,,0,,Month-to-month,0577-WHMEV,No,Yes,Female,1,1374.9,13-24,16,No,No,No,0,Yes,Electronic check,Yes,No,Yes,Yes,Yes,90.7,Fiber optic,
72.75,4,No,,0,,Month-to-month,0581-BXBUB,No,No,Female,1,317.75,0-12,4,No,No,No,1,Yes,Electronic check,No,No,No,Yes,No,72.75,Fiber optic,
88.95,24,No,,0,,Month-to-month,0581-MDMPW,No,Yes,Female,1,2072.75,13-24,24,No,Yes,No,0,Yes,Credit card (automatic),No,Yes,No,No,Yes,88.95,Fiber optic,
78.35,25,No,,0,,Month-to-month,0584-BJQGZ,No,Yes,Female,1,1837.9,25-36,25,Yes,Yes,No,0,Yes,Bank transfer (automatic),No,Yes,Yes,Yes,Yes,78.35,DSL,
80,40,No,,0,,Month-to-month,0585-EGDDA,No,Yes,Male,1,3168.75,37-48,40,No,No,No,0,Yes,Electronic check,Yes,Yes,No,Yes,No,80,Fiber optic,
19.85,13,No,,0,,Month-to-month,0594-UFTUL,Yes,No,Male,1,252,13-24,13,No,No,No,0,Yes,Mailed check,Yes,Yes,No,No,No,19.85,No,
91.8,64,No,,0,,Month-to-month,0595-ITUDF,Yes,Yes,Male,1,5960.5,61+,64,No,No,No,0,Yes,Electronic check,Yes,Yes,Yes,Yes,Yes,91.8,Fiber optic,
69.8,20,No,,0,,Month-to-month,0599-XNYDO,No,No,Female,1,1540.35,13-24,20,No,No,No,0,Yes,Bank transfer (automatic),Yes,Yes,No,No,No,69.8,Fiber optic,
69.85,12,No,,0,,Month-to-month,0603-OLQDC,Yes,No,Male,1,837.5,0-12,12,No,Yes,Yes,0,Yes,Mailed check,No,Yes,Yes,No,No,69.85,DSL,
81.9,13,No,,0,,Month-to-month,0620-DLSLK,No,No,Female,1,1028.9,13-24,13,No,Yes,No,0,Yes,Mailed check,No,Yes,No,No,No,81.9,Fiber optic,
18.85,4,No,,0,,Month-to-month,0620-XEFWH,Yes,No,Male,1,84.2,0-12,4,No,No,No,0,Yes,Mailed check,Yes,No,No,No,No,18.85,No,
81.55,63,No,,0,,Month-to-month,0621-HJWXJ,No,No,Female,1,5029.05,61+,63,No,No,No,0,Yes,Bank transfer (automatic),Yes,Yes,No,Yes,Yes,81.55,Fiber optic,
48.45,1,No,,0,,Month-to-month,0623-GDISB,No,No,Female,1,48.45,0-12,1,No,No,No,0,Yes,Bank transfer (automatic),No,Yes,Yes,No,No,48.45,DSL,
82.3,3,No,,0,,Month-to-month,0641-EVBOJ,No,No,Male,1,214.4,0-12,3,Yes,No,No,0,Yes,Mailed check,No,Yes,Yes,No,No,82.3,Fiber optic,
70.65,4,No,,0,,Month-to-month,0644-OQMDK,No,No,Male,1,293.85,0-12,4,No,No,No,1,Yes,Electronic check,No,Yes,No,No,No,70.65,Fiber optic,
73.55,18,No,,0,,Month-to-month,0650-BWOZN,No,No,Female,1,1359.45,13-24,18,No,No,No,1,Yes,Electronic check,No,Yes,No,Yes,No,73.55,Fiber optic,
48.95,29,No,,0,,Month-to-month,0655-YDGFJ,No,Yes,Male,1,1323.7,25-36,29,No,No,No,0,Yes,Bank transfer (automatic),No,No,No,No,No,48.95,DSL,
85.2,34,No,,0,,Month-to-month,0666-UXTJO,No,Yes,Male,1,2874.45,25-36,34,No,Yes,No,1,Yes,Credit card (automatic),Yes,Yes,No,No,No,85.2,Fiber optic,
28.5,21,No,,0,,Month-to-month,0668-OGMHD,No,No,Female,1,629.35,13-24,21,No,No,No,0,No,Electronic check,Yes,No,Yes,No,No phone service,28.5,DSL,
20.25,1,No,,0,,Month-to-month,0670-KDOMA,No,No,Female,1,20.25,0-12,1,No,No,No,0,Yes,Mailed check,No,Yes,No,No,No,20.25,No,
20.45,1,No,,0,,Month-to-month,0673-IGUQO,No,No,Male,1,20.45,0-12,1,No,No,No,0,Yes,Mailed check,No,No,No,No,No,20.45,No,
93.5,32,No,,0,,Month-to-month,0674-DGMAQ,No,Yes,Male,1,2970.8,25-36,32,No,No,Yes,1,Yes,Electronic check,Yes,Yes,No,Yes,Yes,93.5,Fiber optic,
54.65,1,No,,0,,Month-to-month,0674-EYYZV,No,No,Female,1,54.65,0-12,1,No,Yes,No,0,Yes,Electronic check,No,Yes,No,No,No,54.65,DSL,
86.05,21,No,,0,,Month-to-month,0682-USIXD,No,No,Female,1,1818.9,13-24,21,Yes,Yes,No,0,Yes,Electronic check,Yes,Yes,No,No,No,86.05,Fiber optic,
85.8,52,No,,0,,Month-to-month,0689-DSXGL,Yes,Yes,Female,1,4433.3,49-60,52,Yes,No,No,0,Yes,Bank transfer (automatic),Yes,No,No,Yes,No,85.8,Fiber optic,
19.65,4,No,,0,,Month-to-month,0690-SRQID,No,No,Male,1,67.55,0-12,4,No,No,No,0,Yes,Mailed check,No,Yes,No,No,No,19.65,No,
54.15,23,No,,0,,Month-to-month,0696-UKTOX,Yes,No,Male,1,1312.45,13-24,23,Yes,No,No,0,Yes,Electronic check,No,No,No,Yes,No,54.15,DSL,
